C:\Python35\python.exe C:/Users/Wuql/Python/DigitRecognizer/CNN.py
start at 17:08:22
training begin at 17:08:25
step 100, training accuracy 0.62
step 16800, training accuracy 0.98
step 16900, training accuracy 1
step 17000, training accuracy 1
validation accuracy 0.9909999966621399
step 17100, training accuracy 1
step 17200, training accuracy 1
step 17300, training accuracy 1
step 17400, training accuracy 1
step 17500, training accuracy 1
step 17600, training accuracy 1
step 17700, training accuracy 0.98
step 17800, training accuracy 1
step 17900, training accuracy 1
step 18000, training accuracy 1
validation accuracy 0.9904999732971191
step 18100, training accuracy 1
step 18200, training accuracy 1
step 18300, training accuracy 1
step 18400, training accuracy 1
step 18500, training accuracy 1
step 18600, training accuracy 1
step 18700, training accuracy 1
step 18800, training accuracy 1
step 18900, training accuracy 1
step 19000, training accuracy 1
validation accuracy 0.9917500019073486
step 19100, training accuracy 0.98
step 19200, training accuracy 1
step 19300, training accuracy 1
step 19400, training accuracy 1
step 19500, training accuracy 0.98
step 19600, training accuracy 1
step 19700, training accuracy 1
step 19800, training accuracy 1
step 19900, training accuracy 1
step 20000, training accuracy 1
validation accuracy 0.9907500147819519
step 20100, training accuracy 1
step 20200, training accuracy 1
step 20300, training accuracy 1
step 20400, training accuracy 1
step 20500, training accuracy 1
step 20600, training accuracy 1
step 20700, training accuracy 1
step 20800, training accuracy 1
step 20900, training accuracy 1
step 21000, training accuracy 1
validation accuracy 0.9915000200271606
step 21100, training accuracy 1
step 21200, training accuracy 1
step 21300, training accuracy 1
step 21400, training accuracy 1
step 21500, training accuracy 1
step 21600, training accuracy 1
step 21700, training accuracy 1
step 21800, training accuracy 1
step 21900, training accuracy 1
step 22000, training accuracy 1
validation accuracy 0.9919999837875366
step 22100, training accuracy 1
step 22200, training accuracy 1
step 22300, training accuracy 1
step 22400, training accuracy 1
step 22500, training accuracy 0.98
step 22600, training accuracy 1
step 22700, training accuracy 1
step 22800, training accuracy 1
step 22900, training accuracy 1
step 23000, training accuracy 1
validation accuracy 0.9915000200271606
step 23100, training accuracy 1
step 23200, training accuracy 1
step 23300, training accuracy 1
step 23400, training accuracy 1
step 23500, training accuracy 1
step 23600, training accuracy 1
step 23700, training accuracy 1
step 23800, training accuracy 1
step 23900, training accuracy 1
step 24000, training accuracy 1
validation accuracy 0.9937499761581421
step 24100, training accuracy 1
step 24200, training accuracy 1
step 24300, training accuracy 1
step 24400, training accuracy 1
step 24500, training accuracy 1
step 24600, training accuracy 1
step 24700, training accuracy 1
step 24800, training accuracy 1
step 24900, training accuracy 1
step 25000, training accuracy 1
validation accuracy 0.9940000176429749
step 25100, training accuracy 1
step 25200, training accuracy 1
step 25300, training accuracy 1
step 25400, training accuracy 1
step 25500, training accuracy 1
step 25600, training accuracy 1
step 25700, training accuracy 1
step 25800, training accuracy 1
step 25900, training accuracy 1
step 26000, training accuracy 1
validation accuracy 0.9927499890327454
step 26100, training accuracy 1
step 26200, training accuracy 1
step 26300, training accuracy 1
step 26400, training accuracy 1
step 26500, training accuracy 1
step 26600, training accuracy 1
step 26700, training accuracy 1
step 26800, training accuracy 1
step 26900, training accuracy 1
step 27000, training accuracy 1
validation accuracy 0.9929999709129333
step 27100, training accuracy 1
step 27200, training accuracy 1
step 27300, training accuracy 1
step 27400, training accuracy 1
step 27500, training accuracy 1
step 27600, training accuracy 1
step 27700, training accuracy 1
step 27800, training accuracy 1
step 27900, training accuracy 1
step 28000, training accuracy 1
validation accuracy 0.9925000071525574
step 28100, training accuracy 1
step 28200, training accuracy 1
step 28300, training accuracy 1
step 28400, training accuracy 1
step 28500, training accuracy 1
step 28600, training accuracy 1
step 28700, training accuracy 1
step 28800, training accuracy 1
step 28900, training accuracy 1
step 29000, training accuracy 1
validation accuracy 0.9937499761581421
step 29100, training accuracy 1
step 29200, training accuracy 1
step 29300, training accuracy 1
step 29400, training accuracy 1
step 29500, training accuracy 1
step 29600, training accuracy 1
step 29700, training accuracy 1
step 29800, training accuracy 1
step 29900, training accuracy 1
step 30000, training accuracy 1
validation accuracy 0.9934999942779541
step 30100, training accuracy 1
step 30200, training accuracy 1
step 30300, training accuracy 1
step 30400, training accuracy 1
step 30500, training accuracy 1
step 30600, training accuracy 1
step 30700, training accuracy 1
step 30800, training accuracy 1
step 30900, training accuracy 1
step 31000, training accuracy 1
validation accuracy 0.9932500123977661
step 31100, training accuracy 1
step 31200, training accuracy 1
step 31300, training accuracy 1
step 31400, training accuracy 1
step 31500, training accuracy 1
step 31600, training accuracy 1
step 31700, training accuracy 1
step 31800, training accuracy 1
step 31900, training accuracy 1
step 32000, training accuracy 1
validation accuracy 0.9919999837875366
step 32100, training accuracy 1
step 32200, training accuracy 1
step 32300, training accuracy 1
step 32400, training accuracy 1
step 32500, training accuracy 1
step 32600, training accuracy 1
step 32700, training accuracy 1
step 32800, training accuracy 1
step 32900, training accuracy 1
step 33000, training accuracy 1
validation accuracy 0.9940000176429749
step 33100, training accuracy 1
step 33200, training accuracy 1
step 33300, training accuracy 1
step 33400, training accuracy 1
step 33500, training accuracy 1
step 33600, training accuracy 1
step 33700, training accuracy 1
step 33800, training accuracy 1
step 33900, training accuracy 1
step 34000, training accuracy 1
validation accuracy 0.9929999709129333
